
=== DAILY PASS — 181 market(s) from https://external-api.kalshi.com/trade-api/v2 → data/history/ ===
✓ KXBTCY-27JAN0100-B47500: +2 new bar(s), 202 total, 28 book snapshot(s)
✓ KXBTCY-27JAN0100-B52500: +3 new bar(s), 203 total, 28 book snapshot(s)
✓ KXBTCY-27JAN0100-B72500: +3 new bar(s), 203 total, 28 book snapshot(s)
✓ KXBTCY-27JAN0100-B67500: +3 new bar(s), 203 total, 28 book snapshot(s)
✓ KXBTCY-27JAN0100-B62500: +3 new bar(s), 203 total, 28 book snapshot(s)
✓ KXBTCY-27JAN0100-B82500: +3 new bar(s), 203 total, 28 book snapshot(s)
✓ KXBTCY-27JAN0100-B57500: +3 new bar(s), 203 total, 28 book snapshot(s)
✓ KXBTCY-27JAN0100-T149999.99: +3 new bar(s), 203 total, 28 book snapshot(s)
✓ KXBTCY-27JAN0100-B87500: +3 new bar(s), 203 total, 28 book snapshot(s)
✓ KXNASDAQ100Y-26DEC31H1600-T19000: +0 new bar(s), 200 total, 28 book snapshot(s)
✓ KXINXY-26DEC31H1600-B8100: +2 new bar(s), 202 total, 28 book snapshot(s)

60-minute bars added: 31 · stored: 2431 · conflicts: 0 · failures: 0

— Intraday pass requested by data/history/_ingest-request.json: 60-minute bars, 0 day(s), max 200 bar(s)/market, discovery status=all —
• discovered KXHIGHLAX (status=all): 200 market(s), 10 with volume ≥ 1000 contracts (capped at 10) — 10 already finalized with an exchange result
    ✓ KXHIGHLAX-26AUG27-T89  volume=773216.09 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHLAX-26SEP03-B76.5  volume=525060.56 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHLAX-26AUG18-T82  volume=470871.63 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHLAX-26SEP15-B81.5  volume=402758.71 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHLAX-26SEP08-T89  volume=376503.85 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHLAX-26SEP16-T80  volume=364839.54 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHLAX-26SEP15-T82  volume=345886.74 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHLAX-26AUG26-T89  volume=345548.05 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHLAX-26SEP14-T82  volume=327794.51 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHLAX-26AUG28-T89  volume=326121.99 contracts, liquidity=$0, status=finalized result=no
    ✗ 190 market(s) below the volume floor — e.g. KXHIGHLAX-26AUG29-T86(309923.75), KXHIGHLAX-26AUG21-B78.5(291421.6), KXHIGHLAX-26SEP12-T84(275543.2)
• discovered KXHIGHCHI (status=all): 200 market(s), 10 with volume ≥ 1000 contracts (capped at 10) — 10 already finalized with an exchange result
    ✓ KXHIGHCHI-26SEP14-T72  volume=97755.48 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHCHI-26SEP05-T83  volume=94701.89 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHCHI-26SEP15-B82.5  volume=92408.66 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHCHI-26AUG29-B80.5  volume=89679.17 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHCHI-26AUG27-B78.5  volume=55557.29 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHCHI-26SEP03-B90.5  volume=48367.92 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHCHI-26SEP04-B93.5  volume=47604.84 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHCHI-26SEP04-T89  volume=46294.87 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHCHI-26AUG31-B91.5  volume=44018.93 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHCHI-26SEP13-B72.5  volume=42528.85 contracts, liquidity=$0, status=finalized result=no
    ✗ 190 market(s) below the volume floor — e.g. KXHIGHCHI-26SEP17-B80.5(41189.1), KXHIGHCHI-26SEP09-T80(40488.33), KXHIGHCHI-26SEP03-B92.5(39387.39)
